Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2
1,Document,,,,,,,,,,Ukraine help app SMS,
2,Page,,,,,,,,,,AWS serverless web app hosting,
3,AWS Cloud,AWS Architecture 2019,2,,,,,,,,AWS Cloud,
4,Phone,Google Cloud Platform,2,,,,,,,,Phone,
5,AWS Lambda,AWS Architecture 2019,2,3,,,,,,,AWS Lambda,
6,SVGPathBlock2,,2,3,19,,,,,,,
7,SVGPathBlock2,,2,3,20,,,,,,,
8,SVGPathBlock2,,2,3,21,,,,,,,
9,SVGPathBlock2,,2,3,22,,,,,,,
10,Text,Standard,2,3,,,,,,,AWS Pinpoint,
11,Text,Standard,2,3,,,,,,,Simple Queue Service,
12,Text,Standard,2,3,,,,,,,"NoSQL DB (DocumentDB, MongoDB)",
13,Text,Standard,2,3,,,,,,,Simple Notification Service,
14,Line,,2,,,8,4,None,None,,Send back information by SMS,
15,Line,,2,,,5,7,None,None,,,Grab data based on geo location
16,Line,,2,,,6,4,None,None,,SMS to our phone number,
17,Line,,2,,,6,5,None,None,,,
18,Line,,2,,,5,8,None,None,,,
19,Group 1,,2,,,,,,,,,
20,Group 2,,2,,,,,,,,,
21,Group 3,,2,,,,,,,,,
22,Group 4,,2,,,,,,,,,
